GO-Term   	  Count	Name                                                                                                                                                                                       	Category
GO:0005515	   7473	protein binding                                                                                                                                                                            	molecular_function
GO:0005886	   3008	plasma membrane                                                                                                                                                                            	cellular_component
GO:0005737	   1867	cytoplasm                                                                                                                                                                                  	cellular_component
GO:0016020	   1625	membrane                                                                                                                                                                                   	cellular_component
GO:0005634	   1337	nucleus                                                                                                                                                                                    	cellular_component
GO:0046872	   1101	metal ion binding                                                                                                                                                                          	molecular_function
GO:0005829	   1024	cytosol                                                                                                                                                                                    	cellular_component
GO:0005576	    999	extracellular region                                                                                                                                                                       	cellular_component
GO:0003677	    993	DNA binding                                                                                                                                                                                	molecular_function
GO:0007186	    939	G protein-coupled receptor signaling pathway                                                                                                                                               	biological_process
GO:0007165	    887	signal transduction                                                                                                                                                                        	biological_process
GO:0004930	    857	G protein-coupled receptor activity                                                                                                                                                        	molecular_function
GO:0005615	    738	extracellular space                                                                                                                                                                        	cellular_component
GO:0005524	    676	ATP binding                                                                                                                                                                                	molecular_function
GO:0003723	    669	RNA binding                                                                                                                                                                                	molecular_function
GO:0008270	    631	zinc ion binding                                                                                                                                                                           	molecular_function
GO:0005654	    568	nucleoplasm                                                                                                                                                                                	cellular_component
GO:0042802	    562	identical protein binding                                                                                                                                                                  	molecular_function
GO:0005783	    484	endoplasmic reticulum                                                                                                                                                                      	cellular_component
GO:0002250	    476	adaptive immune response                                                                                                                                                                   	biological_process
GO:0007608	    455	sensory perception of smell                                                                                                                                                                	biological_process
GO:0000978	    455	RNA polymerase II cis-regulatory region sequence-specific DNA binding                                                                                                                      	molecular_function
GO:0005739	    445	mitochondrion                                                                                                                                                                              	cellular_component
GO:0000981	    445	DNA-binding transcription factor activity, RNA polymerase II-specific                                                                                                                      	molecular_function
GO:0004984	    441	olfactory receptor activity                                                                                                                                                                	molecular_function
GO:0050911	    441	detection of chemical stimulus involved in sensory perception of smell                                                                                                                     	biological_process
GO:0005509	    422	calcium ion binding                                                                                                                                                                        	molecular_function
GO:0006955	    411	immune response                                                                                                                                                                            	biological_process
GO:0005102	    386	signaling receptor binding                                                                                                                                                                 	molecular_function
GO:0016787	    384	hydrolase activity                                                                                                                                                                         	molecular_function
GO:0004674	    356	protein serine/threonine kinase activity                                                                                                                                                   	molecular_function
GO:0003700	    352	DNA-binding transcription factor activity                                                                                                                                                  	molecular_function
GO:0005794	    348	Golgi apparatus                                                                                                                                                                            	cellular_component
GO:0003682	    323	chromatin binding                                                                                                                                                                          	molecular_function
GO:0006357	    314	regulation of transcription by RNA polymerase II                                                                                                                                           	biological_process
GO:0042803	    313	protein homodimerization activity                                                                                                                                                          	molecular_function
GO:0005789	    309	endoplasmic reticulum membrane                                                                                                                                                             	cellular_component
GO:0004672	    305	protein kinase activity                                                                                                                                                                    	molecular_function
GO:0015031	    298	protein transport                                                                                                                                                                          	biological_process
GO:0045087	    293	innate immune response                                                                                                                                                                     	biological_process
GO:0000122	    293	negative regulation of transcription by RNA polymerase II                                                                                                                                  	biological_process
GO:0007155	    284	cell adhesion                                                                                                                                                                              	biological_process
GO:0006915	    281	apoptotic process                                                                                                                                                                          	biological_process
GO:0006954	    268	inflammatory response                                                                                                                                                                      	biological_process
GO:0007166	    267	cell surface receptor signaling pathway                                                                                                                                                    	biological_process
GO:0001228	    261	DNA-binding transcription activator activity, RNA polymerase II-specific                                                                                                                   	molecular_function
GO:0006355	    259	regulation of DNA-templated transcription                                                                                                                                                  	biological_process
GO:0030154	    252	cell differentiation                                                                                                                                                                       	biological_process
GO:0016740	    247	transferase activity                                                                                                                                                                       	molecular_function
GO:0003924	    239	GTPase activity                                                                                                                                                                            	molecular_function
GO:0005125	    236	cytokine activity                                                                                                                                                                          	molecular_function
GO:0070062	    236	extracellular exosome                                                                                                                                                                      	cellular_component
GO:0008284	    233	positive regulation of cell population proliferation                                                                                                                                       	biological_process
GO:0003779	    231	actin binding                                                                                                                                                                              	molecular_function
GO:0006508	    222	proteolysis                                                                                                                                                                                	biological_process
GO:0007399	    221	nervous system development                                                                                                                                                                 	biological_process
GO:0000139	    219	Golgi membrane                                                                                                                                                                             	cellular_component
GO:0005096	    219	GTPase activator activity                                                                                                                                                                  	molecular_function
GO:0005085	    212	guanyl-nucleotide exchange factor activity                                                                                                                                                 	molecular_function
GO:0019901	    209	protein kinase binding                                                                                                                                                                     	molecular_function
GO:0004677	    206	DNA-dependent protein kinase activity                                                                                                                                                      	molecular_function
GO:0004679	    206	AMP-activated protein kinase activity                                                                                                                                                      	molecular_function
GO:0004676	    206	3-phosphoinositide-dependent protein kinase activity                                                                                                                                       	molecular_function
GO:0005525	    204	GTP binding                                                                                                                                                                                	molecular_function
GO:0000976	    202	transcription cis-regulatory region binding                                                                                                                                                	molecular_function
GO:0004694	    201	eukaryotic translation initiation factor 2alpha kinase activity                                                                                                                            	molecular_function
GO:0004711	    199	ribosomal protein S6 kinase activity                                                                                                                                                       	molecular_function
GO:0006281	    197	DNA repair                                                                                                                                                                                 	biological_process
GO:0005856	    193	cytoskeleton                                                                                                                                                                               	cellular_component
GO:0035556	    193	intracellular signal transduction                                                                                                                                                          	biological_process
GO:0045944	    191	positive regulation of transcription by RNA polymerase II                                                                                                                                  	biological_process
GO:0003713	    191	transcription coactivator activity                                                                                                                                                         	molecular_function
GO:0045202	    186	synapse                                                                                                                                                                                    	cellular_component
GO:0016491	    184	oxidoreductase activity                                                                                                                                                                    	molecular_function
GO:0005768	    180	endosome                                                                                                                                                                                   	cellular_component
GO:0006629	    180	lipid metabolic process                                                                                                                                                                    	biological_process
GO:0008289	    178	lipid binding                                                                                                                                                                              	molecular_function
GO:0004888	    174	transmembrane signaling receptor activity                                                                                                                                                  	molecular_function
GO:0004842	    174	ubiquitin-protein transferase activity                                                                                                                                                     	molecular_function
GO:0016887	    173	ATP hydrolysis activity                                                                                                                                                                    	molecular_function
GO:0061630	    172	ubiquitin protein ligase activity                                                                                                                                                          	molecular_function
GO:0031267	    172	small GTPase binding                                                                                                                                                                       	molecular_function
GO:0016567	    170	protein ubiquitination                                                                                                                                                                     	biological_process
GO:0005743	    169	mitochondrial inner membrane                                                                                                                                                               	cellular_component
GO:0062023	    166	collagen-containing extracellular matrix                                                                                                                                                   	cellular_component
GO:1990837	    165	sequence-specific double-stranded DNA binding                                                                                                                                              	molecular_function
GO:0000977	    160	RNA polymerase II transcription regulatory region sequence-specific DNA binding                                                                                                            	molecular_function
GO:0038023	    158	signaling receptor activity                                                                                                                                                                	molecular_function
GO:0009897	    157	external side of plasma membrane                                                                                                                                                           	cellular_component
GO:0005730	    155	nucleolus                                                                                                                                                                                  	cellular_component
GO:0006974	    155	DNA damage response                                                                                                                                                                        	biological_process
GO:0009986	    151	cell surface                                                                                                                                                                               	cellular_component
GO:0043565	    150	sequence-specific DNA binding                                                                                                                                                              	molecular_function
GO:0008083	    146	growth factor activity                                                                                                                                                                     	molecular_function
GO:0008285	    145	negative regulation of cell population proliferation                                                                                                                                       	biological_process
GO:0006886	    145	intracellular protein transport                                                                                                                                                            	biological_process
GO:0007267	    144	cell-cell signaling                                                                                                                                                                        	biological_process
GO:0001525	    141	angiogenesis                                                                                                                                                                               	biological_process
GO:0000287	    140	magnesium ion binding                                                                                                                                                                      	molecular_function
GO:0016192	    140	vesicle-mediated transport                                                                                                                                                                 	biological_process
GO:0001227	    139	DNA-binding transcription repressor activity, RNA polymerase II-specific                                                                                                                   	molecular_function
GO:0003714	    137	transcription corepressor activity                                                                                                                                                         	molecular_function
GO:0043066	    136	negative regulation of apoptotic process                                                                                                                                                   	biological_process
GO:0042101	    135	T cell receptor complex                                                                                                                                                                    	cellular_component
GO:0003823	    135	antigen binding                                                                                                                                                                            	molecular_function
GO:0007283	    135	spermatogenesis                                                                                                                                                                            	biological_process
GO:0005178	    135	integrin binding                                                                                                                                                                           	molecular_function
GO:0006338	    134	chromatin remodeling                                                                                                                                                                       	biological_process
GO:0044877	    134	protein-containing complex binding                                                                                                                                                         	molecular_function
GO:0003676	    134	nucleic acid binding                                                                                                                                                                       	molecular_function
GO:0010628	    129	positive regulation of gene expression                                                                                                                                                     	biological_process
GO:0005764	    128	lysosome                                                                                                                                                                                   	cellular_component
GO:0019899	    125	enzyme binding                                                                                                                                                                             	molecular_function
GO:0007189	    125	adenylate cyclase-activating G protein-coupled receptor signaling pathway                                                                                                                  	biological_process
GO:0042995	    125	cell projection                                                                                                                                                                            	cellular_component
GO:0031410	    124	cytoplasmic vesicle                                                                                                                                                                        	cellular_component
GO:0045892	    124	negative regulation of DNA-templated transcription                                                                                                                                         	biological_process
GO:0019814	    123	immunoglobulin complex                                                                                                                                                                     	cellular_component
GO:0005516	    121	calmodulin binding                                                                                                                                                                         	molecular_function
GO:0007268	    121	chemical synaptic transmission                                                                                                                                                             	biological_process
GO:0042742	    120	defense response to bacterium                                                                                                                                                              	biological_process
GO:0005179	    120	hormone activity                                                                                                                                                                           	molecular_function
GO:0016055	    118	Wnt signaling pathway                                                                                                                                                                      	biological_process
GO:0005549	    115	odorant binding                                                                                                                                                                            	molecular_function
GO:0035175	    115	histone H3S10 kinase activity                                                                                                                                                              	molecular_function
GO:0005765	    115	lysosomal membrane                                                                                                                                                                         	cellular_component
GO:0006325	    113	chromatin organization                                                                                                                                                                     	biological_process
GO:0045893	    113	positive regulation of DNA-templated transcription                                                                                                                                         	biological_process
GO:0034220	    112	monoatomic ion transmembrane transport                                                                                                                                                     	biological_process
GO:0004713	    112	protein tyrosine kinase activity                                                                                                                                                           	molecular_function
GO:0043231	    111	intracellular membrane-bounded organelle                                                                                                                                                   	cellular_component
GO:0030246	    111	carbohydrate binding                                                                                                                                                                       	molecular_function
GO:0046982	    109	protein heterodimerization activity                                                                                                                                                        	molecular_function
GO:0000785	    109	chromatin                                                                                                                                                                                  	cellular_component
GO:0005813	    109	centrosome                                                                                                                                                                                 	cellular_component
GO:0010468	    108	regulation of gene expression                                                                                                                                                              	biological_process
GO:0035402	    108	histone H3T11 kinase activity                                                                                                                                                              	molecular_function
GO:0003729	    108	mRNA binding                                                                                                                                                                               	molecular_function
GO:0006935	    107	chemotaxis                                                                                                                                                                                 	biological_process
GO:0004721	    106	phosphoprotein phosphatase activity                                                                                                                                                        	molecular_function
GO:0008017	    104	microtubule binding                                                                                                                                                                        	molecular_function
GO:0007411	    103	axon guidance                                                                                                                                                                              	biological_process
GO:0035403	    103	histone H3T6 kinase activity                                                                                                                                                               	molecular_function
GO:0004252	    103	serine-type endopeptidase activity                                                                                                                                                         	molecular_function
GO:0045296	    103	cadherin binding                                                                                                                                                                           	molecular_function
GO:0007601	    101	visual perception                                                                                                                                                                          	biological_process
GO:0008201	    100	heparin binding                                                                                                                                                                            	molecular_function
GO:0003690	    100	double-stranded DNA binding                                                                                                                                                                	molecular_function
GO:0007218	     98	neuropeptide signaling pathway                                                                                                                                                             	biological_process
GO:0051607	     97	defense response to virus                                                                                                                                                                  	biological_process
GO:0035979	     96	histone H2AXS139 kinase activity                                                                                                                                                           	molecular_function
GO:0016064	     95	immunoglobulin mediated immune response                                                                                                                                                    	biological_process
GO:0002020	     93	protease binding                                                                                                                                                                           	molecular_function
GO:0048018	     93	receptor ligand activity                                                                                                                                                                   	molecular_function
GO:0051015	     92	actin filament binding                                                                                                                                                                     	molecular_function
GO:0030036	     92	actin cytoskeleton organization                                                                                                                                                            	biological_process
GO:0006888	     91	endoplasmic reticulum to Golgi vesicle-mediated transport                                                                                                                                  	biological_process
GO:0007264	     91	small GTPase-mediated signal transduction                                                                                                                                                  	biological_process
GO:0009410	     90	response to xenobiotic stimulus                                                                                                                                                            	biological_process
GO:0005769	     90	early endosome                                                                                                                                                                             	cellular_component
GO:0044022	     90	histone H3S28 kinase activity                                                                                                                                                              	molecular_function
GO:0007204	     90	positive regulation of cytosolic calcium ion concentration                                                                                                                                 	biological_process
GO:0031625	     88	ubiquitin protein ligase binding                                                                                                                                                           	molecular_function
GO:0016477	     88	cell migration                                                                                                                                                                             	biological_process
GO:0001701	     88	in utero embryonic development                                                                                                                                                             	biological_process
GO:0005198	     87	structural molecule activity                                                                                                                                                               	molecular_function
GO:0004386	     87	helicase activity                                                                                                                                                                          	molecular_function
GO:0106310	     86	protein serine kinase activity                                                                                                                                                             	molecular_function
GO:0014069	     86	postsynaptic density                                                                                                                                                                       	cellular_component
GO:0030674	     85	protein-macromolecule adaptor activity                                                                                                                                                     	molecular_function
GO:0006511	     85	ubiquitin-dependent protein catabolic process                                                                                                                                              	biological_process
GO:0003697	     85	single-stranded DNA binding                                                                                                                                                                	molecular_function
GO:0043161	     85	proteasome-mediated ubiquitin-dependent protein catabolic process                                                                                                                          	biological_process
GO:0016301	     84	kinase activity                                                                                                                                                                            	molecular_function
GO:0009617	     84	response to bacterium                                                                                                                                                                      	biological_process
GO:0055085	     84	transmembrane transport                                                                                                                                                                    	biological_process
GO:0005506	     84	iron ion binding                                                                                                                                                                           	molecular_function
GO:0001666	     84	response to hypoxia                                                                                                                                                                        	biological_process
GO:0051056	     84	regulation of small GTPase mediated signal transduction                                                                                                                                    	biological_process
GO:0005262	     83	calcium channel activity                                                                                                                                                                   	molecular_function
GO:0098978	     83	glutamatergic synapse                                                                                                                                                                      	cellular_component
GO:1902600	     83	proton transmembrane transport                                                                                                                                                             	biological_process
GO:0020037	     83	heme binding                                                                                                                                                                               	molecular_function
